time	se1	tm1	se2	tm2	se3	tm3	se4	tm4	se5	tm5	tmp
12:59:35	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12:59:36	0.0	0.0	1.01	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:36	0.0	0.0	1.01	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:36	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:36	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	1.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	0.99	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
12:59:37	0.0	0.0	0.99	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:38	0.0	0.0	1.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:38	0.0	0.0	1.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:38	0.0	0.0	1.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:38	0.0	0.0	1.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:38	0.0	0.0	1.01	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:38	0.0	0.0	1.01	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:39	0.0	0.0	1.01	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:39	0.0	0.0	1.01	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:39	0.0	0.0	1.01	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
12:59:39	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:39	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:39	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:40	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:40	0.0	0.0	1.01	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
12:59:40	0.0	0.0	1.01	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
12:59:40	0.0	0.0	1.01	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
12:59:40	0.0	0.0	1.01	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
12:59:40	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
12:59:41	0.0	0.0	1.01	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
